                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                  2.327,                 2.0667,                 2.4025,                0.35931,                0.34518,                0.27089,                0.09577,                 2.2859,                 2.1577,                 2.4759,              0.0018139,              0.0018139,              0.0018139
                     49,                 2.3112,                 2.0195,                 2.3222,                0.33203,                0.32358,                0.24814,                0.08237,                 2.2814,                 2.1557,                 2.4789,              0.0018099,              0.0018099,              0.0018099
                     50,                 2.3424,                 2.0492,                 2.3561,                0.25757,                0.31487,                0.20345,                0.07002,                 2.2827,                 2.2264,                 2.4156,               0.001806,               0.001806,               0.001806
                     51,                 2.3078,                 2.0715,                 2.3637,                0.32166,                0.31804,                0.25358,                0.08921,                 2.3145,                 2.2148,                 2.4312,               0.001802,               0.001802,               0.001802
                     52,                 2.2333,                 1.9748,                 2.2927,                0.34208,                0.34968,                0.27415,                0.10838,                 2.1881,                 2.1323,                 2.3726,               0.001798,               0.001798,               0.001798
                     53,                  2.279,                 2.0312,                 2.3324,                0.41516,                0.40585,                0.35752,                0.14174,                 2.1667,                 2.0445,                 2.3376,              0.0017941,              0.0017941,              0.0017941
                     54,                 2.3036,                 1.9441,                 2.2839,                0.33083,                  0.375,                0.29212,                0.10384,                 2.2035,                 2.2022,                 2.3074,              0.0017901,              0.0017901,              0.0017901
                     55,                 2.2767,                 2.0489,                 2.3104,                0.31923,                0.38687,                0.28012,                0.09728,                 2.2525,                 2.2045,                  2.343,              0.0017862,              0.0017862,              0.0017862
                     56,                 2.2226,                 1.9926,                 2.2848,                0.32667,                0.35443,                0.28531,                0.11104,                 2.1481,                 2.1414,                 2.3119,              0.0017822,              0.0017822,              0.0017822
                     57,                    2.3,                 1.9576,                 2.2891,                0.31561,                0.35839,                0.28113,                0.10601,                 2.2003,                    2.2,                 2.3223,              0.0017782,              0.0017782,              0.0017782
                     58,                 2.2275,                 1.9754,                 2.2422,                0.33237,                0.28956,                0.22742,                0.07785,                 2.4463,                 2.5461,                  2.448,              0.0017743,              0.0017743,              0.0017743
                     59,                 2.1955,                 2.1416,                 2.3183,                0.40046,                0.38766,                0.35447,                0.14241,                 2.1126,                  2.066,                 2.2571,              0.0017703,              0.0017703,              0.0017703
                     60,                 2.2415,                 2.0377,                 2.2979,                 0.3753,                0.31725,                0.27978,                0.11044,                 2.1626,                 2.1492,                 2.3587,              0.0017664,              0.0017664,              0.0017664
                     61,                 2.2266,                 2.0187,                 2.2894,                0.32478,                0.28244,                0.21968,                0.08565,                  2.224,                 2.2288,                 2.4182,              0.0017624,              0.0017624,              0.0017624
                     62,                 2.1689,                 2.0366,                 2.2682,                 0.3204,                0.28459,                 0.2411,                0.09076,                 2.2607,                 2.1758,                 2.4179,              0.0017584,              0.0017584,              0.0017584
                     63,                 2.1811,                 1.9898,                 2.2427,                0.40781,                0.36788,                0.34952,                0.13973,                 2.1256,                 1.9883,                  2.276,              0.0017545,              0.0017545,              0.0017545
                     64,                 2.1916,                 1.9274,                 2.2255,                0.44874,                0.41456,                0.37738,                0.14382,                 2.1134,                 1.9525,                 2.2566,              0.0017505,              0.0017505,              0.0017505
                     65,                 2.2086,                 2.0278,                 2.3023,                0.46005,                0.39241,                0.36901,                0.14451,                 2.0828,                 1.9779,                 2.2653,              0.0017466,              0.0017466,              0.0017466
                     66,                 2.1716,                 1.9574,                 2.2418,                0.49083,                0.45965,                0.43551,                0.17788,                 2.0639,                 1.9005,                 2.2392,              0.0017426,              0.0017426,              0.0017426
                     67,                 2.1798,                 1.8868,                 2.2405,                0.47098,                 0.4288,                 0.4158,                0.17317,                 2.0622,                 1.9807,                  2.211,              0.0017386,              0.0017386,              0.0017386
                     68,                 2.1467,                 1.8915,                 2.2135,                 0.3721,                0.39003,                 0.3354,                0.12451,                  2.124,                 2.1334,                 2.2329,              0.0017347,              0.0017347,              0.0017347
                     69,                 2.1282,                 1.9062,                 2.1736,                0.35774,                0.38766,                0.29838,                0.11026,                 2.0913,                 2.1047,                 2.2037,              0.0017307,              0.0017307,              0.0017307
                     70,                 2.1971,                 1.8832,                 2.1657,                0.28954,                0.34628,                0.22073,                0.07471,                 2.2035,                  2.208,                 2.2622,              0.0017268,              0.0017268,              0.0017268
                     71,                 2.1797,                  1.894,                 2.1585,                0.34823,                0.34573,                0.28231,                    0.1,                 2.2614,                 2.2719,                 2.2873,              0.0017228,              0.0017228,              0.0017228
                     72,                 2.1299,                 1.9229,                 2.2137,                0.45258,                0.38766,                 0.4003,                0.16335,                 2.0915,                 2.1935,                  2.186,              0.0017188,              0.0017188,              0.0017188
                     73,                 2.1578,                 1.8365,                 2.1847,                0.41878,                0.42484,                0.40955,                0.16281,                  2.076,                   2.26,                 2.1745,              0.0017149,              0.0017149,              0.0017149
                     74,                 2.1259,                 1.9314,                 2.1861,                0.41218,                0.41052,                0.35636,                0.12815,                 2.1723,                 2.1054,                 2.2485,              0.0017109,              0.0017109,              0.0017109
                     75,                 2.1324,                 1.9461,                 2.1793,                0.44341,                0.46361,                0.40177,                0.16246,                  2.012,                 1.9208,                 2.1372,               0.001707,               0.001707,               0.001707
                     76,                 2.1391,                 1.9067,                 2.1586,                0.45924,                0.44858,                0.41144,                0.16391,                 1.9979,                 1.8938,                 2.1311,               0.001703,               0.001703,               0.001703
                     77,                 2.1084,                 1.8366,                 2.0901,                0.49244,                0.45728,                0.41939,                0.17485,                 2.0131,                 1.8747,                 2.1385,               0.001699,               0.001699,               0.001699
                     78,                 2.1392,                  1.903,                 2.1914,                0.47192,                0.40724,                0.38449,                0.14719,                  2.164,                 2.0051,                 2.2087,              0.0016951,              0.0016951,              0.0016951
                     79,                 2.1509,                 1.9125,                 2.2007,                0.50171,                0.48892,                0.47544,                0.20176,                 1.9921,                 1.8231,                 2.1018,              0.0016911,              0.0016911,              0.0016911
                     80,                 2.1442,                 1.8229,                 2.1655,                0.51673,                0.46519,                0.46378,                0.19827,                 1.9932,                 1.9029,                 2.1409,              0.0016872,              0.0016872,              0.0016872
                     81,                 2.0939,                 1.8357,                 2.0925,                0.47834,                0.45411,                0.42459,                0.18661,                 1.9595,                 2.1976,                 2.1104,              0.0016832,              0.0016832,              0.0016832
                     82,                 2.0673,                 1.8686,                 2.1336,                0.54175,                0.46859,                0.47694,                0.20725,                 1.9204,                  1.845,                 2.0849,              0.0016792,              0.0016792,              0.0016792
                     83,                 2.0422,                 1.8857,                 2.1094,                0.53008,                0.46756,                0.47275,                0.20474,                 1.9358,                  1.795,                 2.0952,              0.0016753,              0.0016753,              0.0016753
